type_id,title,currency,category,composition,year_range,expected_years,excluded_years,source_url,image_url,obv_url,rev_url,source_method,notes
16042,10 Centavos 0.5 on obverse; silver .500,Peso ( 1835-1959 ),Standard circulation coins,Silver (.500),1900-1907,1900;1901;1904;1906;1907,,https://en.numista.com/16042,https://en.numista.com/catalogue/photos/chili/65d2bb61620ff9.63629259-360.jpg,https://en.numista.com/catalogue/photos/chili/65d2bb61620ff9.63629259-360.jpg,https://en.numista.com/catalogue/photos/chili/65d2bb61b475d1.53521248-360.jpg,page_cache,"Expected years parsed from individual Numista type page date table; proof-only rows excluded; gold types excluded. If a year has normal and proof rows, the year is kept."
16044,20 Centavos 0.5 on obverse; silver .500,Peso ( 1835-1959 ),Standard circulation coins,Silver (.500),1900-1907,1900;1906;1907,,https://en.numista.com/16044,https://en.numista.com/catalogue/photos/chili/1544-360.jpg,https://en.numista.com/catalogue/photos/chili/1544-360.jpg,https://en.numista.com/catalogue/photos/chili/1545-360.jpg,page_cache,"Expected years parsed from individual Numista type page date table; proof-only rows excluded; gold types excluded. If a year has normal and proof rows, the year is kept."
16034,5 Centavos,Peso ( 1835-1959 ),Standard circulation coins,Silver (.500),1901-1907,1901;1904;1906;1907,,https://en.numista.com/16034,https://en.numista.com/catalogue/photos/chili/6986296124ed34.01777787-360.jpg,https://en.numista.com/catalogue/photos/chili/6986296124ed34.01777787-360.jpg,https://en.numista.com/catalogue/photos/chili/6986296235cd01.08033334-360.jpg,page_cache,"Expected years parsed from individual Numista type page date table; proof-only rows excluded; gold types excluded. If a year has normal and proof rows, the year is kept."
23449,1 Peso,Peso ( 1835-1959 ),Standard circulation coins,Silver (.700),1902-1905,1902;1903;1905,,https://en.numista.com/23449,https://en.numista.com/catalogue/photos/chili/6650cbc85f4cc4.15489348-360.jpg,https://en.numista.com/catalogue/photos/chili/6650cbc85f4cc4.15489348-360.jpg,https://en.numista.com/catalogue/photos/chili/6650cbcca2b516.67442698-360.jpg,page_cache,"Expected years parsed from individual Numista type page date table; proof-only rows excluded; gold types excluded. If a year has normal and proof rows, the year is kept."
10890,50 Centavos,Peso ( 1835-1959 ),Standard circulation coins,Silver (.700),1902-1906,1902;1903;1905;1906,,https://en.numista.com/10890,https://en.numista.com/catalogue/photos/chili/6650c71bafe4c5.24588537-360.jpg,https://en.numista.com/catalogue/photos/chili/6650c71bafe4c5.24588537-360.jpg,https://en.numista.com/catalogue/photos/chili/6650c71f6f7018.25433953-360.jpg,page_cache,"Expected years parsed from individual Numista type page date table; proof-only rows excluded; gold types excluded. If a year has normal and proof rows, the year is kept."
22018,1 Centavo,Peso ( 1835-1959 ),Standard circulation coins,Copper,1904-1919,1904;1908;1919,,https://en.numista.com/22018,https://en.numista.com/catalogue/photos/chili/63443cba602267.81034514-360.jpg,https://en.numista.com/catalogue/photos/chili/63443cba602267.81034514-360.jpg,https://en.numista.com/catalogue/photos/chili/63443cbc0c78d4.79830076-360.jpg,page_cache,"Expected years parsed from individual Numista type page date table; proof-only rows excluded; gold types excluded. If a year has normal and proof rows, the year is kept."
9708,2½ Centavos,Peso ( 1835-1959 ),Standard circulation coins,Copper,1904-1908,1904;1906;1907;1908,,https://en.numista.com/9708,https://en.numista.com/catalogue/photos/chili/1331-360.jpg,https://en.numista.com/catalogue/photos/chili/1331-360.jpg,https://en.numista.com/catalogue/photos/chili/1332-360.jpg,page_cache,"Expected years parsed from individual Numista type page date table; proof-only rows excluded; gold types excluded. If a year has normal and proof rows, the year is kept."
6920,20 Centavos No number on obverse; billon .400,Peso ( 1835-1959 ),Standard circulation coins,Billon (.400 silver),1907-1920,1907;1908;1909;1913;1919;1920,,https://en.numista.com/6920,https://en.numista.com/catalogue/photos/chili/1546-360.jpg,https://en.numista.com/catalogue/photos/chili/1546-360.jpg,https://en.numista.com/catalogue/photos/chili/1547-360.jpg,page_cache,"Expected years parsed from individual Numista type page date table; proof-only rows excluded; gold types excluded. If a year has normal and proof rows, the year is kept."
18999,40 Centavos,Peso ( 1835-1959 ),Standard circulation coins,Billon (.400 silver),1907-1908,1907;1908,,https://en.numista.com/18999,https://en.numista.com/catalogue/photos/chili/1596-360.jpg,https://en.numista.com/catalogue/photos/chili/1596-360.jpg,https://en.numista.com/catalogue/photos/chili/1597-360.jpg,page_cache,"Expected years parsed from individual Numista type page date table; proof-only rows excluded; gold types excluded. If a year has normal and proof rows, the year is kept."
16045,10 Centavos No number on obverse; billon .400,Peso ( 1835-1959 ),Standard circulation coins,Billon (.400 silver),1908-1920,1908;1909;1913;1919;1920,,https://en.numista.com/16045,https://en.numista.com/catalogue/photos/chili/66346ab2f0f485.10332321-360.jpg,https://en.numista.com/catalogue/photos/chili/66346ab2f0f485.10332321-360.jpg,https://en.numista.com/catalogue/photos/chili/66346ab38e0f45.99010362-360.jpg,page_cache,"Expected years parsed from individual Numista type page date table; proof-only rows excluded; gold types excluded. If a year has normal and proof rows, the year is kept."
