N# number (with link),Quantity,Year,Gregorian year,Title,Issuer,Grade
N# 9238,1,1383,2004,1 Afghani,Afghanistan,AU
N# 9239,1,1383,2004,2 Afghanis,Afghanistan,AU
N# 9240,1,1383,2004,5 Afghanis,Afghanistan,AU
N# 26509,1,2013,2013,1 Lek (Magnetic),Albania,AU
N# 2691,1,2011,2011,5 Lekë (Magnetic),Albania,AU
N# 26510,1,2013,2013,10 Lekë (Magnetic),Albania,AU
N# 48805,1,2012,2012,20 Lekë (Magnetic),Albania,AU
N# 2876,1,2000,2000,50 Lekë,Albania,AU
N# 6531,1,2000,2000,100 Lekë,Albania,AU
N# 2453,1,1383,1964,2 Centimes,Algeria,XF
N# 2695,1,1974,1974,5 Centimes (FAO),Algeria,F
N# 1754,1,1383,1964,50 Centimes,Algeria,F
N# 2925,1,1391,1971,50 Centimes,Algeria,VF
N# 2457,1,1383,1964,1 Dinar,Algeria,VG
N# 68390,1,2014,2014,10 Euro Cents,Andorra,AU
N# 2933,1,1968,1968,2.50 Escudos,Angola,VF
N# 5224,1,1939,1939,1 Centavo,Argentina,XF
N# 5224,1,1940,1940,1 Centavo,Argentina,VF
N# 5224,1,1940,1940,1 Centavo,Argentina,VF
N# 3239,1,1939,1939,2 Centavos,Argentina,AU
N# 3239,1,1946,1946,2 Centavos,Argentina,VF
N# 3240,1,1924,1924,5 Centavos,Argentina,F
N# 3240,1,1942,1942,5 Centavos,Argentina,XF
N# 3241,1,1948,1948,5 Centavos,Argentina,XF
N# 3242,1,1951,1951,5 Centavos (reeded edge),Argentina,VF
N# 3242,1,1952,1952,5 Centavos (reeded edge),Argentina,XF
N# 3242,1,1953,1953,5 Centavos (reeded edge),Argentina,XF
N# 4835,1,1956,1956,5 Centavos (smaller head; smooth edge),Argentina,VF
N# 2594,1,1921,1921,10 Centavos,Argentina,F
N# 2594,1,1927,1927,10 Centavos,Argentina,
N# 2594,1,1928,1928,10 Centavos,Argentina,VG
N# 2594,1,1937,1937,10 Centavos,Argentina,F
N# 2594,1,1942,1942,10 Centavos,Argentina,F
N# 3248,1,1944,1944,10 Centavos,Argentina,F
N# 3248,1,1946,1946,10 Centavos,Argentina,XF
N# 3248,1,1949,1949,10 Centavos,Argentina,VF
N# 3250,1,1951,1951,10 Centavos (reeded edge),Argentina,
N# 3250,1,1952,1952,10 Centavos (reeded edge),Argentina,VF
N# 8075,1,1953,1953,10 Centavos (larger head; smooth edge),Argentina,VF
N# 3820,1,1954,1954,10 Centavos (smaller head; smooth edge),Argentina,VF
N# 4570,1,1957,1957,10 Centavos,Argentina,AU
N# 4570,1,1958,1958,10 Centavos,Argentina,XF
N# 3252,1,1906,1906,20 Centavos,Argentina,VG
N# 3252,1,1907,1907,20 Centavos,Argentina,
N# 3252,1,1909,1909,20 Centavos,Argentina,VG
N# 3252,1,1915,1915,20 Centavos,Argentina,F
N# 1281,1,1948,1948,20 Centavos,Argentina,F
N# 1281,1,1950,1950,20 Centavos,Argentina,F
N# 4577,1,1950,1950,20 Centavos (José San Martin),Argentina,XF
N# 3253,1,1951,1951,20 Centavos (non magnetic; reeded edge),Argentina,VF
N# 3253,2,1952,1952,20 Centavos (non magnetic; reeded edge),Argentina,VF
N# 8092,1,1952,1952,20 Centavos (magnetic; larger head; smooth edge),Argentina,VF
N# 8092,1,1953,1953,20 Centavos (magnetic; larger head; smooth edge),Argentina,VF
N# 4132,1,1956,1956,20 Centavos (smaller head; smooth edge),Argentina,XF
N# 3254,1,1958,1958,20 Centavos,Argentina,XF
N# 3258,1,1953,1953,50 Centavos,Argentina,VF
N# 3258,1,1956,1956,50 Centavos,Argentina,
N# 3259,1,1958,1958,50 Centavos,Argentina,VF
N# 3259,1,1960,1960,50 Centavos,Argentina,AU
N# 2818,1,1957,1957,1 Peso,Argentina,AU
N# 2818,1,1958,1958,1 Peso,Argentina,XF
N# 2818,1,1960,1960,1 Peso,Argentina,VF
N# 3262,1,1960,1960,1 Peso (May Revolution),Argentina,AU
N# 1015,1,1961,1961,5 Pesos,Argentina,AU
N# 955,1,1963,1963,10 Pesos,Argentina,VF
N# 955,1,1964,1964,10 Pesos,Argentina,AU
N# 955,1,1968,1968,10 Pesos,Argentina,
N# 3999,1,1966,1966,10 Pesos (Declaration of Independence),Argentina,VF
N# 5190,1,1968,1968,25 Pesos (First Issue of National Coinage in 1813),Argentina,XF
N# 3236,1,1970,1970,1 Centavo,Argentina,XF
N# 3236,1,1972,1972,1 Centavo,Argentina,
N# 3243,1,1972,1972,5 Centavos,Argentina,XF
N# 3243,1,1973,1973,5 Centavos,Argentina,
N# 3243,1,1974,1974,5 Centavos,Argentina,VF
N# 2215,1,1970,1970,10 Centavos,Argentina,VF
N# 2215,1,1971,1971,10 Centavos,Argentina,XF
N# 2215,1,1971,1971,10 Centavos,Argentina,
N# 2215,1,1974,1974,10 Centavos,Argentina,
N# 3255,1,1970,1970,20 Centavos,Argentina,
N# 3255,1,1974,1974,20 Centavos,Argentina,AU
N# 3255,1,1975,1975,20 Centavos,Argentina,
N# 2218,1,1970,1970,50 Centavos,Argentina,XF
N# 2218,1,1974,1974,50 Centavos,Argentina,AU
N# 5227,1,1974,1974,1 Peso,Argentina,
N# 5227,1,1975,1975,1 Peso,Argentina,XF
N# 5227,1,1975,1975,1 Peso,Argentina,
N# 5227,1,1976,1976,1 Peso,Argentina,XF
N# 5228,1,1976,1976,5 Pesos,Argentina,XF
N# 5229,1,1977,1977,10 Pesos,Argentina,
N# 5229,1,1978,1978,10 Pesos,Argentina,XF
N# 5232,1,1978,1978,50 Pesos (Soccer),Argentina,XF
N# 5233,1,1978,1978,50 Pesos (José de San Martín),Argentina,XF
N# 5235,1,1979,1979,50 Pesos (non-magnetic),Argentina,VF
N# 5237,1,1980,1980,100 Pesos (non-magnetic),Argentina,VF
N# 8117,1,1981,1981,100 Pesos (magnetic),Argentina,VF
N# 3260,1,1983,1983,50 Centavos,Argentina,VF
N# 5240,1,1985,1985,5 Pesos,Argentina,VF
N# 5241,1,1985,1985,10 Pesos,Argentina,XF
N# 220134,1,,1984-1985,5000 Pesos Argentinos,Argentina,
N# 367101,1,1986,1986,1 Centavo (Weight 3 g),Argentina,AU
N# 3245,1,1985,1985,5 Centavos (Weight 5 g),Argentina,XF
N# 3245,1,1986,1986,5 Centavos (Weight 5 g),Argentina,F
N# 367103,1,1987,1987,5 Centavos (Weight 4 g),Argentina,XF
N# 2819,1,1986,1986,10 Centavos,Argentina,XF
