coin;type_id
CHILE_4_REALES;121360
CHILE_8_REALES;35218
CHILE_1_PESO_STGO;24556
CHILE_1_PESO_CQBO;24555
CHILE_1_PESO_53;27997
CHILE_8REALES_2;35197
UK_HALF;13118
UK_PENNY;947
UK_2PENCE;1287
UK_3PENCE;13099
UK_4PENCE;13059
UK_6PENCE;13064
UK_SHILLING;13146
UK:HALFCROWN;13075
UK_CROWN;53766
UK_GUINEA;12814
UK_2GUINEA;12943
UK_5GUINEA;27965
UK_FLORIN;4840
UK_2FLORIN;11098
UK_HALFSOV;23736
UK_SOV;5760
UK_FARTHING;3310
UK_SHILLING;7248
UK_THREEPENCE;189768
UK_FLORIN;4716
UK_SHILLING;6982
UK_PENNY;670
UK_PENNY;24795
UK_CROWN;13181
UK_100P;85536
UK_GUINEA_PATTERN;117282
UK_HALFCROWN;189757
UK_SOVEREIGN;13343
UK_2POUND;13348
UK_5POUND;13349
UK_HALFSOVEREIGN;13342
UK_CROWN;8475

