type_id,title,series,currency,category,composition,year_range,expected_years,excluded_years,source_url,image_url,obv_url,rev_url,source_method,notes
3310,1 Farthing - George VI (with 'IND:IMP'),Pre-decimal · Farthing,Pound sterling (1158-1970),Standard circulation coins,Bronze,1937-1948,1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948,,https://en.numista.com/catalogue/pieces3310.html,https://en.numista.com/catalogue/photos/royaume-uni/8882-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/8882-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/8883-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
7182,1 Farthing - George VI (without 'IND:IMP'),Pre-decimal · Farthing,Pound sterling (1158-1970),Standard circulation coins,Bronze,1949-1952,1949;1950;1951;1952,,https://en.numista.com/catalogue/pieces7182.html,https://en.numista.com/catalogue/photos/royaume-uni/2365-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/2365-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/2366-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
2345,1 Farthing - Elizabeth II (1st portrait; without 'BRITT:OMN'),Pre-decimal · Farthing,Pound sterling (1158-1970),Standard circulation coins,Bronze,1954-1956,1954;1955;1956,,https://en.numista.com/catalogue/pieces2345.html,https://en.numista.com/catalogue/photos/royaume-uni/7033-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/7033-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/7034-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
870,½ Penny - George VI (with 'IND:IMP'),Pre-decimal · Halfpenny,Pound sterling (1158-1970),Standard circulation coins,Bronze,1937-1948,1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948,,https://en.numista.com/catalogue/pieces870.html,https://en.numista.com/catalogue/photos/royaume-uni/5e393c3d276958.94737610-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5e393c3d276958.94737610-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5e393c3ddc3158.19494612-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
3593,½ Penny - George VI (without 'IND:IMP'),Pre-decimal · Halfpenny,Pound sterling (1158-1970),Standard circulation coins,Bronze,1949-1952,1949;1950;1951;1952,,https://en.numista.com/catalogue/pieces3593.html,https://en.numista.com/catalogue/photos/royaume-uni/2071-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/2071-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/2072-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
5824,½ Penny - Elizabeth II (1st portrait; without 'BRITT:OMN'),Pre-decimal · Halfpenny,Pound sterling (1158-1970),Standard circulation coins,Bronze,1954-1967,1954;1955;1956;1957;1958;1959;1960;1962;1963;1964;1965;1966;1967,1970,https://en.numista.com/catalogue/pieces5824.html,https://en.numista.com/catalogue/photos/royaume-uni/2065-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/2065-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/2066-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
3377,1 Penny - Victoria (2nd portrait; 1st type),Pre-decimal · Penny,Pound sterling (1158-1971),Standard circulation coins,Bronze,1860-1874,1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874,,https://en.numista.com/catalogue/pieces3377.html,https://en.numista.com/catalogue/photos/royaume-uni/5fa68ec50b4e02.59941740-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5fa68ec50b4e02.59941740-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5fa68ec5c8a650.13680512-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
855,1 Penny - Victoria (2nd portrait; 2nd type),Pre-decimal · Penny,Pound sterling (1158-1971),Standard circulation coins,Bronze,1874-1894,1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894,,https://en.numista.com/catalogue/pieces855.html,https://en.numista.com/catalogue/photos/royaume-uni/2571-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/2571-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/2572-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
670,1 Penny - Victoria (3rd portrait),Pre-decimal · Penny,Pound sterling (1158-1971),Standard circulation coins,Bronze,1895-1901,1895;1896;1897;1898;1899;1900;1901,,https://en.numista.com/catalogue/pieces670.html,https://en.numista.com/catalogue/photos/royaume-uni/4128-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/4128-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/4129-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
857,1 Penny - Edward VII,Pre-decimal · Penny,Pound sterling (1158-1971),Standard circulation coins,Bronze,1902-1910,1902;1903;1904;1905;1906;1907;1908;1909;1910,,https://en.numista.com/catalogue/pieces857.html,https://en.numista.com/catalogue/photos/royaume-uni/4177-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/4177-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/4178-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
578,1 Penny - George V,Pre-decimal · Penny,Pound sterling (1158-1970),Standard circulation coins,Bronze,1911-1926,1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1926,,https://en.numista.com/catalogue/pieces578.html,https://en.numista.com/catalogue/photos/royaume-uni/5eacb8ad088f68.12144574-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5eacb8ad088f68.12144574-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5eacb8ad75d170.02185391-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
7242,1 Penny - George V (modified effigy),Pre-decimal · Penny,Pound sterling (1158-1971),Standard circulation coins,Bronze,1926-1927,1926;1927,,https://en.numista.com/catalogue/pieces7242.html,https://en.numista.com/catalogue/photos/royaume-uni/8956-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/8956-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/8957-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
5985,1 Penny - George V (smaller portrait),Pre-decimal · Penny,Pound sterling (1158-1971),Standard circulation coins,Bronze,1928-1936,1928;1929;1930;1931;1932;1934;1935;1936,1933,https://en.numista.com/catalogue/pieces5985.html,https://en.numista.com/catalogue/photos/royaume-uni/2482-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/2482-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/2483-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
669,1 Penny - George VI (with 'IND:IMP'),Pre-decimal · Penny,Pound sterling (1158-1970),Standard circulation coins,Bronze,1937-1948,1937;1938;1939;1940;1944;1945;1946;1947;1948,,https://en.numista.com/catalogue/pieces669.html,https://en.numista.com/catalogue/photos/royaume-uni/6284913fcd7764.78944742-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/6284913fcd7764.78944742-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/62849140292c81.45708438-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
7604,1 Penny - George VI (without 'IND:IMP'),Pre-decimal · Penny,Pound sterling (1158-1971),Standard circulation coins,Bronze,1949-1951,1949;1950;1951,1952,https://en.numista.com/catalogue/pieces7604.html,https://en.numista.com/catalogue/photos/royaume-uni/638-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/638-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/861-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
6347,1 Penny - Elizabeth II (1st portrait; with 'BRITT:OMN'),Pre-decimal · Penny,Pound sterling (1158-1971),Non-circulating coins,Bronze,1953,1953,,https://en.numista.com/catalogue/pieces6347.html,https://en.numista.com/catalogue/photos/royaume-uni/8626-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/8626-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/8627-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
858,1 Penny - Elizabeth II (1st portrait; without 'BRITT:OMN'),Pre-decimal · Penny,Pound sterling (1158-1970),Standard circulation coins,Bronze,1961-1967,1961;1962;1963;1964;1965;1966;1967,1954;1970,https://en.numista.com/catalogue/pieces858.html,https://en.numista.com/catalogue/photos/royaume-uni/68d9dd301ab7a0.78453367-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/68d9dd301ab7a0.78453367-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/68d9dd30df0dc8.97083980-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
576,6 Pence - Elizabeth II (1st portrait; without 'BRITT:OMN'),Pre-decimal · Sixpence,Pound sterling (1158-1970),Standard circulation coins,"Copper-nickel (75% Cu, 25% Ni)",1954-1967,1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967,1970,https://en.numista.com/catalogue/pieces576.html,https://en.numista.com/catalogue/photos/royaume-uni/9472-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/9472-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/9473-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
882,1 Shilling - Elizabeth II (English shield; without 'BRITT:OMN'),Pre-decimal · Shilling,Pound sterling (1158-1970),Standard circulation coins,"Copper-nickel (75% Cu, 25% Ni)",1954-1966,1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966,1970,https://en.numista.com/catalogue/pieces882.html,https://en.numista.com/catalogue/photos/royaume-uni/186-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/186-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/187-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
919,1 Shilling - Elizabeth II (Scottish shield; without 'BRITT:OMN'),Pre-decimal · Shilling,Pound sterling (1158-1970),Standard circulation coins,"Copper-nickel (75% copper, 25 nickel)",1954-1966,1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966,1970,https://en.numista.com/catalogue/pieces919.html,https://en.numista.com/catalogue/photos/royaume-uni/5790-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5790-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5791-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
856,½ New Penny - Elizabeth II (2nd portrait),Decimal · Halfpenny,"Pound sterling (decimalized, 1971-date)",Standard circulation coins,"Bronze (97% Cu, 2.5% Zn, 0.5% Sn)",1971-1981,1971;1973;1974;1975;1976;1977;1978;1979;1980;1981,1972,https://en.numista.com/catalogue/pieces856.html,https://en.numista.com/catalogue/photos/royaume-uni/692f4268bcba16.97129074-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/692f4268bcba16.97129074-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/692f42694b0fd7.18215589-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
6899,½ Penny - Elizabeth II (2nd portrait),Decimal · Halfpenny,"Pound sterling (decimalized, 1971-date)",Standard circulation coins,Bronze,1982-1983,1982;1983,1984,https://en.numista.com/catalogue/pieces6899.html,https://en.numista.com/catalogue/photos/royaume-uni/5130-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5130-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5131-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
665,1 New Penny - Elizabeth II (2nd portrait),Decimal · Penny,"Pound sterling (decimalized, 1971-date)",Standard circulation coins,"Bronze (97% Cu, 2.5% Zn, 0.5% Sn)",1971-1981,1971;1973;1974;1975;1976;1977;1978;1979;1980;1981,1972,https://en.numista.com/catalogue/pieces665.html,https://en.numista.com/catalogue/photos/royaume-uni/6568ba50f2cbf6.58966222-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/6568ba50f2cbf6.58966222-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/6568ba52498538.83968580-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
859,1 Penny - Elizabeth II (2nd portrait),Decimal · Penny,"Pound sterling (decimalized, 1971-date)",Standard circulation coins,Bronze,1982-1984,1982;1983;1984,,https://en.numista.com/catalogue/pieces859.html,https://en.numista.com/catalogue/photos/royaume-uni/5132-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5132-original.jpg,https://en.numista.com/catalogue/photos/royaume-uni/5133-original.jpg,Numista date table; circulation rows only,"Proof, BU and non-circulation-only dates excluded. 1953 included by explicit collection rule."
